F,1,2,3,4,5,6,7,8,9,10,11,12
1,0.34375,0.118164063,0.040618896,0.013962746,0.004799694,0.001649895,0.000567151,0.000194958,6.70169E-05,2.30371E-05,7.92E-06,2.72E-06
2,0.71875,0.375976563,0.173553467,0.07489109,0.030979842,0.012449206,0.004898125,0.001896412,0.000725001,0.00027435,0.000102947,3.83576E-05
3,1,0.569335938,0.273254395,0.120587349,0.050614953,0.020548689,0.008146355,0.003172503,0.001218489,0.000462835,0.000174218,6.50842E-05
4,1,0.709960938,0.418273926,0.220288277,0.107735276,0.050001356,0.022320451,0.009668963,0.004089693,0.001696556,0.000692552,0.000278897
6,1,0.920898438,0.635803223,0.369839668,0.193415761,0.094180356,0.043581595,0.019413654,0.008396498,0.003547136,0.001470052,0.000599616
8,1,0.920898438,0.688537598,0.442349434,0.255728841,0.137020598,0.069352678,0.03358775,0.015705016,0.007136141,0.003166418,0.001377117
9,1,1,0.770111084,0.498431206,0.287859023,0.153587723,0.077325607,0.037242009,0.017320068,0.007830108,0.003457981,0.001497386
12,1,1,0.888763428,0.661578178,0.428063452,0.249978269,0.135310545,0.069133725,0.033764234,0.015905368,0.007274803,0.003246763
16,1,1,0.888763428,0.681353569,0.462052405,0.285029376,0.163424454,0.088462037,0.045723627,0.022757104,0.010975964,0.005155174
18,1,1,0.977752686,0.803713799,0.567205727,0.357322285,0.206913157,0.112380824,0.058056752,0.028813549,0.01383858,0.006467207
24,1,1,0.977752686,0.86303997,0.669172585,0.462475607,0.291254884,0.170365761,0.093934932,0.049368756,0.024942063,0.01219244
27,1,1,1,0.893630028,0.695460916,0.480548834,0.30212706,0.176345458,0.097018213,0.050882868,0.025657717,0.012520448
32,1,1,1,0.893630028,0.702876687,0.495843863,0.320528891,0.193213803,0.110064824,0.059852413,0.031310399,0.015851493
36,1,1,1,0.960371971,0.817589402,0.614141351,0.415413334,0.258446858,0.150427776,0.082977021,0.043801817,0.02229238
48,1,1,1,0.960371971,0.845398545,0.671497708,0.484420202,0.321703153,0.199352567,0.116612815,0.064999374,0.034783798
54,1,1,1,0.993742943,0.902754903,0.730646452,0.531862423,0.354319681,0.219534044,0.128175119,0.071245083,0.038004242
64,1,1,1,0.993742943,0.902754903,0.733427366,0.538553998,0.363520596,0.229022488,0.136329251,0.077411645,0.042243753
72,1,1,1,0.993742943,0.944468617,0.819461903,0.6420643,0.45840504,0.302409674,0.186782941,0.109207982,0.06098088
81,1,1,1,1,0.955222934,0.830552292,0.650959717,0.464520638,0.306193701,0.188950873,0.110379052,0.061584713
96,1,1,1,1,0.955222934,0.843066406,0.681071804,0.505924759,0.348891701,0.225644467,0.138128582,0.080662515
108,1,1,1,1,0.98650822,0.907592309,0.75870453,0.577088091,0.403932091,0.263484735,0.161975834,0.09471536
128,1,1,1,1,0.98650822,0.907592309,0.759747373,0.579955909,0.408368246,0.26856783,0.166780948,0.098679579
144,1,1,1,1,0.98650822,0.931056273,0.816207538,0.657588635,0.488426995,0.337368317,0.218811316,0.134450457
162,1,1,1,1,0.998240203,0.955253487,0.84531981,0.684274885,0.509067141,0.351558418,0.227754036,0.139720274
192,1,1,1,1,0.998240203,0.955253487,0.850794735,0.699330929,0.532356959,0.378244667,0.252980881,0.160532421
216,1,1,1,1,0.998240203,0.978717451,0.9072549,0.776963655,0.612415708,0.447045155,0.30501125,0.1963033
243,1,1,1,1,1,0.982347033,0.91162174,0.780966592,0.61551173,0.44917367,0.306352658,0.197093772
256,1,1,1,1,1,0.982347033,0.91162174,0.781357659,0.616721591,0.451253118,0.308973628,0.199796649
288,1,1,1,1,1,0.982347033,0.923940322,0.815233757,0.669123681,0.511297179,0.365734031,0.24662398
324,1,1,1,1,1,0.995545513,0.955699164,0.858902166,0.714156727,0.549997453,0.395001113,0.266745099
384,1,1,1,1,1,0.995545513,0.955699164,0.861248562,0.721415891,0.562474142,0.410726938,0.282962357
432,1,1,1,1,1,0.995545513,0.971097391,0.903593686,0.786918504,0.637529219,0.481677441,0.341496522
486,1,1,1,1,1,0.999505057,0.980625044,0.916694208,0.800428418,0.649139301,0.490457566,0.347532857
512,1,1,1,1,1,0.999505057,0.980625044,0.916694208,0.800575067,0.649643409,0.491410646,0.348843343
576,1,1,1,1,1,0.999505057,0.980625044,0.922853499,0.819630373,0.682394716,0.532690938,0.391413644
648,1,1,1,1,1,0.999505057,0.992173714,0.954612341,0.868757332,0.738686024,0.585903815,0.435314268
729,1,1,1,1,1,1,0.99336467,0.956249907,0.870446072,0.740137284,0.587001331,0.43606881
768,1,1,1,1,1,1,0.99336467,0.956249907,0.871435958,0.743540017,0.593434623,0.444914587
864,1,1,1,1,1,1,0.99336467,0.965488843,0.900018916,0.792666976,0.655355062,0.508770039
972,1,1,1,1,1,1,0.998561572,0.979780322,0.922126048,0.817998065,0.679300856,0.52852532
1024,1,1,1,1,1,1,0.998561572,0.979780322,0.922126048,0.818053059,0.679508801,0.528954206
1152,1,1,1,1,1,1,0.998561572,0.979780322,0.925095706,0.828261258,0.698808678,0.555491536
1296,1,1,1,1,1,1,0.998561572,0.988441824,0.951892229,0.874317783,0.756859089,0.615356023
1458,1,1,1,1,1,1,0.999860797,0.992014694,0.957419012,0.880650555,0.762845538,0.620294843
1536,1,1,1,1,1,1,0.999860797,0.992014694,0.957419012,0.881063007,0.764405124,0.623511489
1728,1,1,1,1,1,1,0.999860797,0.992014694,0.962615914,0.898927356,0.798179909,0.669951818
1944,1,1,1,1,1,1,0.999860797,0.997211596,0.978693828,0.926561271,0.833010155,0.70587051
2048,1,1,1,1,1,1,0.999860797,0.997211596,0.978693828,0.926561271,0.833030778,0.705955578
2187,1,1,1,1,1,1,1,0.997594403,0.979285983,0.927239782,0.833672183,0.706484738
2304,1,1,1,1,1,1,1,0.997594403,0.979285983,0.928631809,0.838935786,0.717340919
2592,1,1,1,1,1,1,1,0.997594403,0.985132497,0.948729202,0.876932419,0.769586289
2916,1,1,1,1,1,1,1,0.999543241,0.991161715,0.95909192,0.889993761,0.783055798
3072,1,1,1,1,1,1,1,0.999543241,0.991161715,0.95909192,0.890163898,0.783757612
3456,1,1,1,1,1,1,1,0.999543241,0.991161715,0.961875974,0.900691104,0.805469973
3888,1,1,1,1,1,1,1,0.999543241,0.995546601,0.976949019,0.929188578,0.844654001
4096,1,1,1,1,1,1,1,0.999543241,0.995546601,0.976949019,0.929188578,0.844661734
4374,1,1,1,1,1,1,1,0.999960849,0.996838576,0.979169601,0.931987437,0.847548058
4608,1,1,1,1,1,1,1,0.999960849,0.996838576,0.979169601,0.93262545,0.850179859
5184,1,1,1,1,1,1,1,0.999960849,0.996838576,0.982823673,0.946442407,0.878677334
5832,1,1,1,1,1,1,1,0.999960849,0.999031019,0.990360195,0.960691144,0.898269348
6144,1,1,1,1,1,1,1,0.999960849,0.999031019,0.990360195,0.960691144,0.898338949
6561,1,1,1,1,1,1,1,1,0.999152141,0.990568374,0.960953537,0.898609542
6912,1,1,1,1,1,1,1,1,0.999152141,0.990568374,0.962389065,0.904531095
7776,1,1,1,1,1,1,1,1,0.999152141,0.993857039,0.974824327,0.930178822
8748,1,1,1,1,1,1,1,1,0.999856855,0.996279492,0.979404278,0.936476255
9216,1,1,1,1,1,1,1,1,0.999856855,0.996279492,0.979404278,0.936763361
10368,1,1,1,1,1,1,1,1,0.999856855,0.996279492,0.98155757,0.94564569
11664,1,1,1,1,1,1,1,1,0.999856855,0.998334907,0.989329609,0.96167552
13122,1,1,1,1,1,1,1,1,0.999988989,0.998789117,0.99018835,0.962856288
13824,1,1,1,1,1,1,1,1,0.999988989,0.998789117,0.99018835,0.963574053
15552,1,1,1,1,1,1,1,1,0.999988989,0.998789117,0.992449306,0.972900499
17496,1,1,1,1,1,1,1,1,0.999988989,0.99967001,0.99578018,0.979770426
19683,1,1,1,1,1,1,1,1,1,0.99970786,0.995851742,0.979868823
20736,1,1,1,1,1,1,1,1,1,0.99970786,0.995851742,0.98108005
23328,1,1,1,1,1,1,1,1,1,0.99970786,0.997547459,0.988074884
26244,1,1,1,1,1,1,1,1,1,0.999955611,0.998484268,0.990007051
31104,1,1,1,1,1,1,1,1,1,0.999955611,0.998484268,0.991460524
34992,1,1,1,1,1,1,1,1,1,0.999955611,0.999392688,0.995207756
39366,1,1,1,1,1,1,1,1,1,0.999996903,0.999548822,0.995529784
46656,1,1,1,1,1,1,1,1,1,0.999996903,0.999548822,0.996801572
52488,1,1,1,1,1,1,1,1,1,0.999996903,0.99988948,0.998206785
59049,1,1,1,1,1,1,1,1,1,1,0.99990119,0.998230937
69984,1,1,1,1,1,1,1,1,1,1,0.99990119,0.999048515
78732,1,1,1,1,1,1,1,1,1,1,0.999986354,0.999399818
104976,1,1,1,1,1,1,1,1,1,1,0.999986354,0.999783058
118098,1,1,1,1,1,1,1,1,1,1,0.999999129,0.999835753
157464,1,1,1,1,1,1,1,1,1,1,0.999999129,0.9999635
177147,1,1,1,1,1,1,1,1,1,1,1,0.999967093
236196,1,1,1,1,1,1,1,1,1,1,1,0.999995836
354294,1,1,1,1,1,1,1,1,1,1,1,0.999999755
531441,1,1,1,1,1,1,1,1,1,1,1,1
